old_url,new_url,http_action,content_action,reason
https://skysend.ru/,/,200,restructure,"Новая главная без акций, рекламных баннеров и ленты новостей"
https://skysend.ru/allvend.html,/software/allvend/,301,adapt,"Сохранить продукт и функции; исключить рекламные модули, акции, старые цены и обещания"
https://skysend.ru/autorally.html,,410,exclude,"Акция, промо-кампания или рекламный раздел исключён по заданию"
https://skysend.ru/partners.html,/#partners,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/information.html,/partners/agents/,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/stable-work.html,/partners/agents/#stable-work,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/cost-reduction.html,/partners/agents/#cost-reduction,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/remote-control.html,/partners/agents/#remote-control,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/income.html,/partners/agents/#income,301,adapt,Убрать обещания процентов/скидок; сохранить только проверяемый механизм/формат работы
https://skysend.ru/partners/agent/innovation.html,/partners/agents/#innovation,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/transfer-terminal.html,/partners/agents/#transfer-terminal,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/buy-terminals.html,/partners/agents/#buy-terminals,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/rma.html,/partners/agents/#rma,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/agent/fingerprint-scanner.html,/partners/agents/#fingerprint-scanner,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/providers/information.html,/partners/providers/,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/providers/payment-collection.html,/partners/providers/#payment-collection,301,adapt,Сохранить смысл; очистить оформление и промо
https://skysend.ru/partners/providers/free-connection.html,/partners/providers/#free-connection,301,adapt,Сохранить смысл; очистить оформление и промо
